Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Wait for a while.,You sit down for a while and|check who is coming or leaving.,0,0,0,Wait()
0,0,0,,Check the showers.,The showers are empty.,100,0,0,EnterShower()
0,0,0,JenniferAvail,Swim with Jennifer.,(You get closer to Jennifer|and start to swim with her.),200,0,0,LoadJennifer()
0,0,0,,Swim alone.,You swim alone for a while.|It's a good exercise and it's relaxing.,10,0,0,Swim()
0,0,0,,Search the place.,You find some lifejackets and lifebuoys|but nothing that's really interesting.,0,0,0,Search()
0,0,0,,Return to your dorm.,,0,0,0,Leave()
10,0,0,,Swim alone.,You swim alone for a while.|It's a good exercise and it's relaxing.,10,0,0,Swim()
10,0,0,HasSports,Do some moves.,You do some pretty impressive|moves in the water just for fun.,20,0,0,Swim()
10,0,0,,Get out of the pool.,You get out of the water and|check if anyone is coming.,0,0,0,
20,0,0,,Swim alone.,You swim alone for a while.|It's a good exercise and it's relaxing.,10,0,0,Swim()
20,0,0,HasSports,Do more moves.,You do more great moves|in the water just for fun.,20,0,0,Swim()
20,0,0,,Get out of the pool.,You get out of the water and|check if anyone is coming.,0,0,0,
100,0,0,,Take a shower.,You take a warm shower and relax.,101,0,0,Shower()
100,0,0,,Search the place.,You find some soap and shampoo|but nothing that's really interesting.,100,0,0,SearchShower()
100,0,0,,Check the pool.,You go back to the pool.,0,0,0,EnterPool()
100,0,0,,Return to your dorm.,,100,0,0,Leave()
101,0,0,,Shower some more.,You stay in the warm shower.,101,0,0,Shower()
101,0,0,,Stop showering.,You step out of the shower.,100,0,0,EnterShower()
110,0,0,,TO DO,TO DO,110,0,0,
110,0,0,,(Leave quietly.),(You walk back quietly toward the water while|Jennifer sprints behind you and jumps in the pool.),0,0,0,EnterPool()
200,0,0,,TO DO,TO DO,200,0,0,
200,0,0,,(Get out of the pool.),You get out of the water.,0,0,0,UnloadJennifer()
