Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_ActorIsOwner,What's on your|mind Mistress?,"Nothing my subbie, I'm reviewing my notes.|(She reviews and studies her school notes.)",0,0,0,RandomAmandaDommeEvent()
0,0,0,Common_ActorIsOwner,"Mistress, it's ok if|I change clothes?","Absolutely, you can wear|anything you want my subbie.",0,0,0,IsChangingBlocked()
0,5,0,!Common_ActorIsLover,You look so|pretty Amanda.,"Thanks, I also love your looks.|(You need +20 love to date Amanda.)",0,0,0,TestLove()
0,0,0,,We need to talk.,What would you like to talk about?,0,0,0,TestTalk()
0,0,5,IsRestrained,You really enjoy being|restrained don't you girl?,(She winks.)  I'll never admit that Miss.|(You need +20 submission to collar Amanda.),0,0,0,TestDomme()
0,0,-5,!Common_ActorIsOwner,Miss Amanda.|I admire you.,That's very flattering of you to say that.|(You need -20 submission to submit to Amanda.),0,0,0,TestSub()
0,0,0,Common_PlayerGagged,@Om nnnuoogn mh!,Let me get my English-Mumble|dictionary.  (She laughs out loud.),0,0,0,TestUnbind()
0,0,0,Common_ActorIsOwner,(Hum a sexy song|and dance for fun.),"Not now my subbie, I'm reviewing my notes.|(She reviews and studies her school notes.)",0,0,0,RandomAmandaDommeEvent()
0,0,0,Common_PlayerRestrained,(Struggle in|your restrains.),You're not getting out soon.|I love to see you struggle.,0,0,0,TestUnbind()
0,0,0,!Common_ActorIsOwner,You should wear|something else.,I prefer to stay like that.,0,0,0,TestChange()
0,0,0,SexAvail,Would you like to|make love with me?,"You're very direct.  No, I'll pass.|Let's do something else alright?",0,0,0,TestSex()
0,0,0,PleasurePlayerAvail,"My submissive, you|will pleasure me now.",Pleasure you how Mistress?|(She gives you a curious look.),630,0,0,TestPleasurePlayer()
0,0,0,!Common_PlayerRestrained,(Play with her.),(You take a step toward her.),10,0,0,
10,5,0,!Common_PlayerGagged,(Kiss her.),(You get close to her and kiss her|on the lips while she moans silently.),10,0,0,Kiss()
10,1,0,!Common_PlayerRestrained,(Tickle her.),"(You get closer and tickle her on the chest|while she laughs out loud, she seems to enjoy it.)",10,0,0,Tickle()
10,0,5,!Common_PlayerRestrained,(Spank her.),(You spank her pretty hard on the|butt while she whimpers from the pain.),10,0,0,Spank()
10,0,0,CanMasturbate,(Masturbate her.),"(You get closer to masturbate|her, but she pushes you away.)",10,0,0,StartMasturbate()
10,0,0,IsGagged,(Ungag her.),(You slowly remove her gag.)|This gag was really effective.,10,0,0,Ungag()
10,0,0,IsRoped,(Untie her.),(You undo the knots and remove the|ropes while she stretches happily.),10,0,0,Untie()
10,0,0,IsStrapped,(Unstrap her.),(You remove the straps and|unlace the binder from her arms.),10,0,0,Untie()
10,0,0,,(Stop playing.),(You take a step back.),0,0,0,
20,0,0,Common_ActorIsOwned,Let's review|your rules.,Oh my god.  Yes Mistress.,610,0,0,
20,0,0,ChatAvail,I'd like to know|more about you.,"Fair enough, what would|like to know about me?",500,0,0,StartChat()
20,0,0,DateSarahAvail,Is there something|between you and Sarah?,"Yes...  No...  I guess everyone knows but her.|I love her so much, but I cannot admit it to her.",120,0,0,
20,0,0,DatingSarah,Would you like to use|my bed with Sarah?,(She blushes a little.)  No thanks.|We'll have some fun later at home.,20,0,0,TestBedSarah()
20,0,0,CuffsGameAvail,Would you like to try a|cuffs challenge with me?,You both giggle and struggle with the cuffs but|you're able to lock them around her wrists.,0,0,0,CuffsGame()
20,0,0,Common_PlayerChaste,Can you please help|me with this belt?,I cannot help you.|I don't have the key.,0,0,0,
20,0,0,Common_ActorIsLover,About our relationship...,Y...  Yes my love?|(She seems nervous.),190,0,0,
20,0,0,,It's time for you|to leave my place.,You're expelling me from your dorm?,790,-1,1,
20,0,0,,Never mind.,Very well.  What would you like to do?,0,0,0,
100,0,0,,Do you have|a loved one?,I do...  I mean I don't...|I don't have a loved one.,110,0,0,TestRelationship()
100,0,0,,Do you have|a boyfriend?,"A girl...  A boy...  Boyfriend?|No, I don't have a boyfriend.",110,0,0,TestRelationship()
100,0,0,,Do you have|a girlfriend?,I do...  I mean I don't...|I don't have a girlfriend.,110,0,0,TestRelationship()
