PlayerGagged,,,"Hun, speak clearer if you want to become a star.",,
0,,,It's a honor to see you Mistress DialogPlayerName.  Are you here to review the scenario?,,"DialogLogQuery(""ClubMistress"", ""Management"")"
0,,,You're DialogPlayerName the kidnapper?  We could use someone like you in our next film.,,"DialogReputationGreater(""Kidnap"", 50)"
0,,,"Hey maid DialogPlayerName, the studio could use some cleaning.  We also need some fresh coffee.",,"DialogReputationGreater(""Maid"", 50)"
0,,,"Hey there, are you looking to become a star in the next movie?",,
0,,"Hi, I'm DialogPlayerName.","Pleased to meet you hun, I'm DialogCharacterName.  I'm directing the next movie.",DialogRemove(),
0,,Can you help me?,"Go find a maid, I have a movie to shoot.",,Player.IsRestrained()
0,,Are you looking for actresses?,All the time.  If you're not shy we could hire you.  You could become the next bondage idol.,,
0,,Do actresses get paid?,"Of course hun.  The better the performance, the better the salary.",,
0,1000,What are you filming?,"The movie is called: ""The Interview"".  It's the story of a curious journalist that comes to the Bondage Club to interview a Mistress.  Are you interested?",,
0,,Take care.  (Leave her.),,DialogLeave(),
1000,,Tell me about the script.,"The script is open hun, as long as it's sexy.  It starts with a journlist that comes in advance to interview a Mistress, and finds herself waiting in a room full of toys.",,
1000,,What roles are available?,"There's a role for a journalist, a Mistress and a maid.  But you'll need to be a true Club Mistress or Maid for the last two.",,
1000,,Can actors improvise?,Oh yeah!  We give you a starting situation and you can roll with it.  Just make sure the movie is sexy and will sell well.,,
1000,1010,I want to play in that movie.,"Great!  Which role would you like to take?  The journalist, the maid or the Mistress?",,
1000,0,I'm not interested.,"Fine, make some room for the next movie star then.",,
1010,1020,I'll be the journalist.,The starring role!  You will do fine hun.,,
1010,,I'll be the maid.,TO DO,,"DialogLogQuery(""JoinedSorority"", ""Maid"")"
1010,,I'll be the maid.,"Sorry, this role is for real maids only.",,"!DialogLogQuery(""JoinedSorority"", ""Maid"")"
1010,,I'll be the Mistress.,TO DO,,"DialogLogQuery(""ClubMistress"", ""Management"")"
1010,,I'll be the Mistress.,"Sorry, this role is for real Mistresses only.",,"!DialogLogQuery(""ClubMistress"", ""Management"")"
1010,0,I'm not sure about this.,"Fine, make some room for the next movie star then.",,
1020,1021,What should I do?,"You start the movie by entering a dungeon room with an X-Cross and a drawer full of latex clothes and cuffs, be curious!",,
1020,1021,How does it start?,"You start the movie by entering a dungeon room with an X-Cross and a drawer full of latex clothes and cuffs, be curious!",,
1021,1022,There are other actresses?,"The maid will come in for the second scene, and see what you've did to yourself.  She will play with you.",,
1021,1022,And what's next?,"The maid will come in for the second scene, and see what you've did to yourself.  She will play with you.",,
1022,1023,What about the Mistress?,"The Mistress comes in third, finding both you and the maid.  This will be the hotest scene.",,
1022,1023,And after that?,"The Mistress comes in third, finding both you and the maid.  This will be the hotest scene.",,
1022,1023,(Take a few notes.),"The Mistress comes in third, finding both you and the maid.  This will be the hotest scene.",,
1023,1024,There's only three scenes?,"No, in the last scene, the journalist does the actual interview, most probably in a kinky situation.",,
1023,1024,And that's it?,"In the last scene, the journalist does the actual interview, most probably in a kinky situation.",,
1024,1025,I'm ready to shoot.,"This is wonderful hun,  you'll become a star.  Go get changed and we'll start filming when you get back.",,
1024,1025,I'll be the greatest journalist!,"This is wonderful hun,  you'll become a star.  Go get changed and we'll start filming when you get back.","DialogChangeReputation(""Dominant"", 2)",
1024,1025,I will try my best Miss Director.,"This is wonderful hun,  you'll become a star.  Go get changed and we'll start filming when you get back.","DialogChangeReputation(""Dominant"", -2)",
1024,0,I've changed my mind.,"Fine, make some room for the next movie star then.",,
1025,1026,(Go change.),You look fabulous.  Now enter the room and we'll start recording.  Remember to be curious and sexy my star!,"Change(""Journalist"")",
1026,,(Start the movie.),,"Progress(""Interview"", ""1"", ""Journalist"")",
