PlayerGagged,,,That gag looks great on you.  It sounds good also.  (She laughs.),,
0,,,(A maid is cleaning the room.  She turns to look at you.)  You look adorable on that cross.,,Player.IsRestrained()
0,,,(A maid is cleaning the room.  She turns to look at you.)  I hope I'm not bothering you.,,!Player.IsRestrained()
0,,Who are you?,"I'm DialogCharacterName the maid, I'm here to clean this room.","ChangeParameter(""Actor1"", ""Friendship"", ""1"")","CanDoActivity(""InterviewMaidFriendship0"")"
0,100,Can you help me?,"(She smiles.)  So, you're stuck on the Saint Andrew's Cross?  Who strapped you on it?",,Player.IsRestrained()
0,100,What is that cross?,(She giggles.)  This is called a Saint Andrew's Cross or X Cross.  Who strapped you on it?,,Player.IsRestrained()
0,100,(Struggle on the cross.),(She laughs at you.)  That Saint Andrew's Cross don't want to let you go?  Who strapped you on it?,,Player.IsRestrained()
0,10,What are you doing here?,I need to clean this room and bring fresh drinks before the Mistress comes.,,!Player.IsRestrained()
0,10,Is the Mistress coming?,"Yes, I'm here to clean this room before she comes.",,!Player.IsRestrained()
0,,Please tell me about your work.,"My job is to keep six playrooms clean, including this one.  It can get messy in the dungeons.  (She winks at you.)","ChangeParameter(""Actor1"", ""Friendship"", ""2"")","CanDoActivity(""InterviewMaidFriendship1"")"
0,,You're doing a great job.,"(She smiles.)  That's very nice of you.  I've worked very hard today, so I appreciate it.","ChangeParameter(""Actor1"", ""Friendship"", ""3"")","CanDoActivity(""InterviewMaidFriendship2"")"
0,,"The pleasure is mine, my friend.",(She nods happily.)  You look so cute on that cross my friend.  Maybe I could take a break to play with you.,"ChangeParameter(""Actor1"", ""Friendship"", ""4"")","CanDoActivity(""InterviewMaidFriendshipRestrained3"")"
0,,"The pleasure is mine, my friend.",(She nods happily.)  Too bad I'm working now.  We could explore the club together my friend.,"ChangeParameter(""Actor1"", ""Friendship"", ""4"")","CanDoActivity(""InterviewMaidFriendshipUnrestrained3"")"
0,,(Leave her.),,DialogLeave(),
10,20,What is this room?,Isn't it obvious?  You're in one the dungeon playroom.  Mistress reserved it for an event.,,
10,20,Where are we?,Isn't it obvious?  You're in one the dungeon playroom.  Mistress reserved it for an event.,,
20,30,A dungeon playroom?,Dominants can bring submissives here to get punished or simply to have some bondage fun.  Are you a Dominant or a submissive?,,
20,30,What goes on in here?,Dominants can bring submissives here to get punished or simply to have some bondage fun.  Are you a Dominant or a submissive?,,
20,30,Tell me about this place.,Dominants can bring submissives here to get punished or simply to have some bondage fun.  Are you a Dominant or a submissive?,,
30,200,I'm a Dominant for sure.,(She nods politely.)  Dommes have lots of control in a dungeon like this.,"DialogChangeReputation(""Dominant"", 3)",
30,200,I'm independent.,You're probably a Dominant.  Dommes have lots of control in a dungeon like this.,"DialogChangeReputation(""Dominant"", 1)",
30,50,I don't know.,I'll help you figure it out.  (She locks your cuffs behind your back.),"DoActivity(""InterviewMaidCuffPlayer"")","!CanDoActivity(""InterviewMaidCuffPlayer"")"
30,50,I'm probably a submissive.,There's something missing in your setup then.  (She locks your cuffs behind your back.),"DoActivity(""InterviewMaidCuffPlayer"")","!CanDoActivity(""InterviewMaidCuffPlayer"")"
30,50,I don't know.,I'll help you figure it out.  (She gets some cuffs from the drawer and locks them on you.),"DoActivity(""InterviewMaidCuffPlayer"")","CanDoActivity(""InterviewMaidCuffPlayer"")"
30,50,I'm probably a submissive.,Then you're missing a few accessories.  (She gets some cuffs from the drawer and locks them on you.),"DoActivity(""InterviewMaidCuffPlayer"")","CanDoActivity(""InterviewMaidCuffPlayer"")"
50,51,This is really tight.,Isn't it a wonderful feeling to be restrained?  To be under control?,"DialogChangeReputation(""Dominant"", -2)",
50,51,Wait!  What are you doing?,Isn't it a wonderful feeling to be restrained?  To be under control?,"DialogChangeReputation(""Dominant"", -1)",
50,51,Are you punishing me Miss?,Isn't it a wonderful feeling to be restrained?  To be under control?,"DialogChangeReputation(""Dominant"", -3)",
51,52,I'm not sure.  (Tug on the cuffs.),Oh!  Would you like to get out subbie girl?,,
51,52,That's not why I came here.,Oh!  Would you like to get out subbie girl?,,
