ClothStudentOutfit3White,Shirt
ClothStudentOutfit3Color,Trim
ClothBabydollDress1Dress,Dress
ClothBabydollDress1Trim,Trim
ClothDressFurFabric,Dress
ClothDressFurFur,Fur
ClothCorsetShirtShirt,Shirt
ClothCorsetShirtCorset,Corset
ClothAccessoryBouquetBase,Holder
ClothAccessoryBouquetFlowers,Flowers
ClothAccessoryCapeFront,Front
ClothAccessoryCapeBack,Back
NecklaceNecklaceLockChain,Chain
NecklaceNecklaceLockLock,Lock
NecklaceNecklaceKeyChain,Chain
NecklaceNecklaceKeyKey,Key
NecklaceIDCardString,Lanyard
NecklaceIDCardCard,Card
SuitCatsuitBase,Suit
SuitCatsuitZip,Zip
SuitSeethroughSuitZipBase,Suit
SuitSeethroughSuitZipZip,Zip
ClothLowerSkirt2Color,Skirt
ClothLowerSkirt2Stripe,Trim
ClothLowerSkirt3Color,Skirt
ClothLowerSkirt3Stripe,Trim
ClothLowerLeggings1Cloth,Cloth
ClothLowerLeggings1Stripe,Stripe
ClothLowerLeggings2Cloth,Cloth
ClothLowerLeggings2Stripe,Stripe
SuitLowerCatsuitBase,Suit
SuitLowerCatsuitZip,Zip
SuitLowerSeethroughSuitZipBase,Suit
SuitLowerSeethroughSuitZipZip,Zip
PantiesDiapers2Diaper,Diaper
PantiesDiapers2Cover,Plastic Cover
SocksSocks6Sock,Sock
SocksSocks6Frill,Trim
SocksSocksFurFabric,Sock
SocksSocksFurFur,Fur
HatSanta1Fabric,Hat
HatSanta1Fur,Fur
HatBonnet1Base,Bonnet
HatBonnet1Lace,Lace
HatPirateBandana1Bandana,Bandana
HatPirateBandana1Skull,Skull
HatPirateBandana1Dots,Dots
HatCrown2Crown,Crown
HatCrown2Jewels,Jewels
HatCrown3Crown,Crown
HatCrown3Jewels,Jewels
HatPoliceWomanHatBadge,Badge
HatPoliceWomanHatHat,Hat
HatCaptainHat1Top,Top
HatCaptainHat1Insignia,Insignia
HatCaptainHat1Rope,Rope
HatCaptainHat1Brim,Brim
HairAccessory1KittenEars1Outer,Outer Ear
HairAccessory1KittenEars1Inner,Inner Ear
HairAccessory1FoxEars2Inner,Inner Ear
HairAccessory1FoxEars2Outer,Outer Ear
HairAccessory1FoxEars3EarOuter,Outer Ear
HairAccessory1FoxEars3EarInner,Inner Ear
HairAccessory1FoxEars3Strap,Strap
HairAccessory1FoxEars3Bell,Bell
HairAccessory1BunnyEars2Outer,Outer
HairAccessory1BunnyEars2Inner,Inner
HairAccessory2KittenEars1Outer,Outer Ear
HairAccessory2KittenEars1Inner,Inner Ear
HairAccessory2FoxEars2Inner,Inner Ear
HairAccessory2FoxEars2Outer,Outer Ear
HairAccessory2FoxEars3EarOuter,Outer Ear
HairAccessory2FoxEars3EarInner,Inner Ear
HairAccessory2FoxEars3Strap,Strap
HairAccessory2FoxEars3Bell,Bell
HairAccessory2BunnyEars2Outer,Outer
HairAccessory2BunnyEars2Inner,Inner
GlovesGlovesFurFabric,Glove
GlovesGlovesFurFur,Fur
TailStrapsTailStrapTail,Tail
TailStrapsTailStrapRibbon,Ribbon
TailStrapsTailStrapBell,Bell
TailStrapsFoxTailsStrapBases,Tails
TailStrapsFoxTailsStrapTips,Tips
TailStrapsSuccubusHeartTailStrapTail,Tail
TailStrapsSuccubusHeartTailStrapHeart,Heart
TailStrapsFoxTailStrap1Base,Tail
TailStrapsFoxTailStrap1Tip,Tip
TailStrapsFoxTailStrap2Base,Tail
TailStrapsFoxTailStrap2Tip,Tip
ItemFeetOrnateAnkleCuffsCuffs,Cuffs
ItemFeetOrnateAnkleCuffsGems,Gems
ItemLegsOrnateLegCuffsCuffs,Cuffs
ItemLegsOrnateLegCuffsGems,Gems
ItemLegsLegBinderLatex,Binder
ItemLegsLegBinderBelts,Belts
ItemLegsHobbleSkirtLatex,Skirt
ItemLegsHobbleSkirtBelts,Belts
ItemLegsWoodenHorseFrame,Frame
ItemLegsWoodenHorseWood,Wood
ItemVulvaWandBeltBelt,Belt
ItemVulvaWandBeltWand,Wand
ItemVulvaHempRopeBeltRope,Rope
ItemVulvaHempRopeBeltWand,Wand
ItemVulvaWiredEggRemote,Remote
ItemVulvaWiredEggStrap,Strap
ItemVulvaPiercingsVibeHeartClitPiercingHeart,Heart
ItemVulvaPiercingsVibeHeartClitPiercingRing,Ring
ItemButtFoxTail1Base,Tail
ItemButtFoxTail1Tip,Tip
ItemButtFoxTail2Base,Tail
ItemButtFoxTail2Tip,Tip
ItemButtSuccubusHeartButtPlugTail,Tail
ItemButtSuccubusHeartButtPlugHeart,Heart
ItemPelvisOrnateChastityBeltBelt,Belt
ItemPelvisOrnateChastityBeltGems,Gems
ItemNipplesPiercingsVibeHeartPiercingsHeart,Heart
ItemNipplesPiercingsVibeHeartPiercingsRing,Ring
ItemBreastOrnateChastityBraBra,Bra
ItemBreastOrnateChastityBraGems,Gems
ItemArmsOrnateCuffsCuffs,Cuffs
ItemArmsOrnateCuffsGems,Gems
ItemArmsBoleroLeather,Jacket
ItemArmsBoleroBelts,Straps
ItemArmsStraitDressLatex,Dress
ItemArmsStraitDressBelts,Straps
ItemArmsStraitDressOpenLatex,Dress
ItemArmsStraitDressOpenBelts,Straps
ItemArmsFullLatexSuitLatex,Suit
ItemArmsFullLatexSuitBase,Straps
ItemArmsBondageBouquetBase,Holder
ItemArmsBondageBouquetFlowers,Flowers
ItemArmsLatexArmbinderLatex,Binder
ItemArmsLatexArmbinderStraps,Straps
ItemArmsPrisonLockdownSuitSuit,Suit
ItemArmsPrisonLockdownSuitBelts,Straps
ItemArmsHighSecurityStraitJacketCrotch,Crotch Panel
ItemArmsHighSecurityStraitJacketJacketLoose,Jacket
ItemArmsHighSecurityStraitJacketStrapsLoose,Jacket
ItemArmsHighSecurityStraitJacketCrotchStrapsSingle,Crotch
ItemArmsYokeStraps,Straps
ItemArmsYokeBars,Bars
ItemArmsWristShacklesCuffs,Cuffs
ItemArmsWristShacklesChain,Chain
ItemArmsPilloryWood,Wood
ItemArmsPilloryMetal,Metal
ItemArmsLeatherArmbinderBinder,Binder
ItemArmsLeatherArmbinderStrap,Straps
ItemArmsArmbinderJacketJacket,Jacket
ItemArmsArmbinderJacketStraps,Straps
ItemArmsArmbinderJacketRings,Buckles
ItemArmsHempRope,Ropes
ItemArmsHempRopeSuspension,Suspension Rope
ItemArmsChains,Chains
ItemArmsChainsSuspension,Suspension Chain
ItemNeckHighCollarLeather,Leather
ItemNeckHighCollarRings,Rings
ItemNeckOrnateCollarCollar,Collar
ItemNeckOrnateCollarGem,Gems
ItemNeckAccessoriesCustomCollarTagTag,Tag
ItemNeckAccessoriesCustomCollarTagText,Text
ItemMiscWoodenSignSign,Sign
ItemMiscWoodenSignRope,Rope
ItemMiscWoodenSignText,Text
ItemMiscWoodenSignRope,Rope
ItemMiscWoodenSignText,Text
ItemDevicesBedPillow,Pillow
ItemDevicesBedMattress,Mattress
ItemDevicesBedBedFrame,Frame
ItemDevicesCoffinInside,Velvet
ItemDevicesCoffinFrame,Frame
ItemDevicesCoffinOpen,Lid (open)
ItemDevicesCoffinClosed,Lid (closed)
ItemAddonCoversOuter,Outer
ItemAddonCoversInner,Inner
ItemDevicesCageFrame,Frame
ItemDevicesCageMesh,Mesh
ItemDevicesCageTint,Tint
ItemNoseNoseHookBand,Strap
ItemNoseNoseHookHook,Hook
ItemDevicesX-CrossCross,Frame
ItemDevicesX-CrossPadding,Padding
ItemDevicesChangingTableFrame,Frame
ItemDevicesChangingTableTable,Tabletop
ItemDevicesConcealingCloakFront,Cloak
ItemDevicesConcealingCloakStrap,Straps
ItemHoodPumpkinHeadFront,Front
ItemHoodPumpkinHeadBack,Back
ItemHoodAddonOldGasMaskLensesTube1Lenses,Lenses
ItemHoodAddonOldGasMaskLensesTube1Tube1,Tube
ItemHoodAddonOldGasMaskLensesTube2Lenses,Lenses
ItemHoodAddonOldGasMaskLensesTube2Tube2,Tube
ItemHoodAddonOldGasMaskLensesRebreatherLenses,Lenses
ItemHoodAddonOldGasMaskLensesRebreatherRebreather,Lenses
ItemBootsLockingBoots1Boots,Boots
ItemBootsLockingBoots1Straps,Straps
ItemBootsLeatherFootMitts1Mitts,Mittens
ItemBootsLeatherFootMitts1Straps,Straps
ItemMouthWiffleGagStrap,Strap
ItemMouthWiffleGagBall,Ball
ItemMouthHarnessBallGagBall,Ball
ItemMouthHarnessBallGagHarness,Harness
ItemMouthCupholderGagGag,Gag
ItemMouthCupholderGagHolder,Holder
ItemMouthCupholderGagCup,Cup
ItemMouthDildoGagStrap,Strap
ItemMouthDildoGagDildo,Dildo
ItemMouthBambooGagRod,Rod
ItemMouthBambooGagRope,Rope
