BodyUpper,,Upper Body
BodyUpper,Small,Small
BodyUpper,Normal,Normal
BodyUpper,Large,Large
BodyUpper,Xlarge,Xlarge
BodyLower,,Lower Body
BodyLower,Small,Small
BodyLower,Normal,Normal
BodyLower,Large,Large
BodyLower,Xlarge,Xlarge
Hands,,Hands
Hands,Default,Default
Cloth,,Cloth
Cloth,CollegeOutfit1,College
Cloth,MaidOutfit1,Maid
Cloth,StudentOutfit1,Student Black
Cloth,StudentOutfit2,Student Bow
Cloth,BabydollDress1,Babydoll Dress
Cloth,TeacherOutfit1,Teacher
Cloth,ChineseDress1,Chinese Dress
Cloth,ChineseDress2,Chinese Long
Cloth,TShirt1,T-Shirt
Cloth,TennisShirt1,Tennis
Cloth,Sweater1,Sweater
Cloth,MistressTop1,Mistress Top
ClothLower,,Bottom
ClothLower,Skirt1,Skirt
ClothLower,TennisSkirt1,Tennis
ClothLower,Jeans1,Jeans
ClothLower,Shorts1,Shorts
ClothLower,MistressBottom,Mistress Bottom
HairBack,,Back Hair
HairBack,HairNone,None
HairBack,HairBack1,Style 1
HairBack,HairBack2,Style 2
HairBack,HairBack4,Style 3
HairBack,HairBack10,Style 4
HairBack,HairBack14,Style 5
HairBack,HairBack15,Style 6
HairBack,HairBack16,Style 7
HairBack,HairBack17,Style 8
HairBack,HairBack18,Style 9
HairBack,HairBack19,Style 10
HairFront,,Front Hair
HairFront,HairFront1,Style 1
HairFront,HairFront2,Style 2
HairFront,HairFront3,Style 3
HairFront,HairFront4,Style 4
HairFront,HairFront5,Style 5
HairFront,HairFront6,Style 6
HairFront,HairFront7,Style 7
HairFront,HairFront8,Style 8
HairFront,HairFront9,Style 9
HairFront,HairFront10,Style 10
HairFront,HairFront11,Style 11
HairFront,HairFront12,Style 12
Hat,,Hat
Hat,Band1,Hair Band
Hat,Beret1,Beret
Hat,Ears1,Ears Small
Hat,Ears2,Ears Large
Hat,MaidHairband1,Maid Hairband
Hat,Santa1,Santa Hat
Eyes,,Eyes
Eyes,Eyes1,Style 1
Eyes,Eyes2,Style 2
Eyes,Eyes3,Style 3
Eyes,Eyes4,Style 4
Eyes,Eyes5,Style 5
Eyes,Eyes6,Style 6
Eyes,Eyes7,Style 7
Eyes,Eyes8,Style 8
Eyes,Eyes9,Style 9
Eyes,Eyes10,Style 10
Eyes,Eyes11,Style 11
Glasses,,Glasses
Glasses,Glasses1,Style 1
Glasses,Glasses2,Style 2
Glasses,Glasses3,Style 3
Glasses,Glasses4,Style 4
Glasses,Glasses5,Style 5
Glasses,Glasses6,Style 6
Glasses,SunGlasses1,Sunglasses 1
Glasses,SunGlasses2,Sunglasses 2
Mouth,,Mouth
Mouth,Mouth1,Style 1
Mouth,Mouth2,Style 2
Mouth,Mouth3,Style 3
Mouth,Mouth4,Style 4
Nipples,,Nipples Style
Nipples,Nipples1,Small
Nipples,Nipples2,Large
Bra,,Bra
Bra,Bra1,Style 1
Bra,Bra2,Style 2
Bra,Bra7,Style 3
Gloves,,Gloves
Gloves,Gloves1,Short Gloves
Gloves,Gloves2,Long Gloves
Gloves,MistressGloves,Mistress Gloves
Pussy,,Pussy
Pussy,PussyLight1,Light 1
Pussy,PussyLight2,Light 2
Pussy,PussyLight3,Light 3
Pussy,PussyDark1,Dark 1
Pussy,PussyDark2,Dark 2
Pussy,PussyDark3,Dark 3
Panties,,Panties
Panties,Panties1,Style 1
Panties,Panties7,Style 2
Panties,Panties8,Style 3
Panties,Panties11,Style 4
Socks,,Socks
Socks,Socks1,Short
Socks,Socks2,Regular
Socks,Socks3,Middle Leg
Socks,Socks4,High Leg
Socks,Socks5,Full Leg
Socks,Stockings1,Stockings Dark
Socks,Stockings2,Stockings Light
Shoes,,Shoes
Shoes,Shoes1,Style 1
Shoes,Shoes2,Style 2
Shoes,Shoes4,Style 3
Shoes,Sneakers1,Sneakers Light
Shoes,Sneakers2,Sneakers Dark
Shoes,Heels1,Heels
Shoes,Heels2,Heels Strap
Shoes,Boots1,Boots
Shoes,MistressBoots,Mistress Boots
ItemFeet,,Feet
ItemFeet,NylonRope,Nylon Rope
ItemFeet,HempRope,Hemp Rope
ItemFeet,LeatherBelt,Leather Belt
ItemFeet,SuspensionHempRope,Suspension Hemp Rope
ItemLegs,,Legs
ItemLegs,NylonRope,Nylon Rope
ItemLegs,HempRope,Hemp Rope
ItemLegs,LeatherBelt,Leather Belt
ItemVulva,,Vulva
ItemVulva,VibratingEgg,Vibrating Egg
ItemVulva,VibratingWand,Vibrating Wand
ItemButt,,Butt
ItemButt,BlackButtPlug,Black Butt Plug
ItemButt,TailButtPlug,Kitty Butt Plug
ItemButt,HorseButtPlug,Horse Butt Plug
ItemPelvis,,Pelvis
ItemPelvis,MetalChastityBelt,Metal Chastity Belt
ItemPelvis,MetalChastityBeltKey,Metal Chastity Belt Key
ItemPelvis,LeatherCrop,Leather Crop
ItemPelvis,LeatherWhip,Leather Whip
ItemPelvis,StraponPanties,Strap-On Panties
ItemTorso,,Torso
ItemTorso,NylonRopeHarness,Nylon Rope Harness
ItemTorso,HempRopeHarness,Hemp Rope Harness
ItemTorso,LeatherHarness,Leather Harness
ItemBreast,,Breast
ItemBreast,StraightPiercing,Straight Piercings
ItemBreast,RoundPiercing,Round Piercings
ItemBreast,NippleClamp,Nipple Clamps
ItemBreast,MetalChastityBra,Metal Chastity Bra
ItemBreast,MetalChastityBraKey,Metal Chastity Bra Key
ItemBreast,LeatherCrop,Leather Crop
ItemBreast,LeatherWhip,Leather Whip
ItemArms,,Arms
ItemArms,NylonRope,Nylon Rope
ItemArms,HempRope,Hemp Rope
ItemArms,MetalCuffs,Metal Cuffs
ItemArms,MetalCuffsKey,Metal Cuffs Key
ItemArms,LeatherArmbinder,Leather Armbinder
ItemArms,FourLimbsShackles,Four Limbs Shackles
ItemNeck,,Neck
ItemNeck,LeatherCollar,Leather Collar
ItemNeck,SlaveCollar,Slave Collar
ItemNeck,ClubSlaveCollar,Club Slave Collar
ItemMouth,,Mouth
ItemMouth,SmallClothGag,Small Cloth Gag
ItemMouth,ClothCleaveGag,Cloth Cleave Gag
ItemMouth,ClothOTMGag,Cloth OTM Gag
ItemMouth,ClothOTNGag,Cloth OTN Gag
ItemMouth,HarnessBallGag,Harness Ball Gag
ItemMouth,HarnessPanelGag,Harness Panel Gag
ItemMouth,RingGag,Ring Gag
ItemMouth,DuctTapeGag,Duct Tape Gag
ItemMouth,DusterGag,Duster Gag
ItemMouth,RegularSleepingPill,Sleeping Pill
ItemHead,,Head
ItemHead,ClothBlindfold,Cloth Blindfold
ItemHead,LeatherBlindfold,Leather Blindfold
ItemHead,LeatherHood,Leather Hood
ItemHead,LeatherHoodOpenEyes,Leather Hood Eyes
ItemHead,StuddedBlindfold,Studded Blindfold
ItemMisc,,Misc Items
ItemMisc,WoodenMaidTray,Wooden Maid Tray
ItemMisc,WoodenMaidTrayFull,Wooden Maid Tray Full
ItemMisc,WoodenPaddle,Wooden Paddle
