RoomName,Room Name
RoomDescription,Description
RoomBanList,Ban List
RoomAdminList,Administrator List
RoomPrivate,Private
RoomLocked,Locked
RoomSize,Size (2-10)
UseMemberNumbers,"Use member numbers, separated by commas (ex: 3571,541,7001)"
AdminOnly,Room settings can only be updated by administrators
Background,Background
Introduction,Introduction
KidnapLeague,Kidnappers League
MaidQuarters,Maid Quarters
MainHall,Main Hall
Management,Club Management
Private,Private Room
Shibari,Shibari Dojo
Bedroom,Bedroom
HorseStable,Horse Stable
Nursery,Nursery
PrisonHall,Prison Hall
BDSMRoomBlue,BDSM Room Blue
BDSMRoomPurple,BDSM Room Purple
BDSMRoomRed,BDSM Room Red
Gardens,Gardens
IndoorPool,Indoor Pool
OutdoorPool,Outdoor Pool
MaidCafe,Maid Café
PublicBath,Public Bath
ParkDay,Park Day
ParkNight,Park Night
ChillRoom,Chill Room
Boudoir,Boudoir
BondageBedChamber,Bondage Bedchamber
Beach,Beach
ForestPath,Forest Path
DeepForest,Deep Forest
SpookyForest,Spooky Forest
AbandonedBuilding,Abandoned Building
BalconyNight,Balcony Night
CozyLivingRoom, Cozy Living Room
RooftopParty,Rooftop Party
CosyChalet,Cosy Chalet
ParkWinter,Park Winter
XmasEve,Xmas Eve Lounge
XmasDay,Xmas Day Lounge
StreetNight, Street Night
SnowyStreet, Snowy Street
AsylumEntrance,Entrance
AsylumBedroom,Bedroom
AsylumMeeting,Meeting
AsylumTherapy,Therapy
PaddedCell,Padded Cell
PaddedCell2,Padded Cell 2
Save,Save
Exit,Exit
Cancel,Cancel
UpdatingRoom,Updating the chat room...
ResponseRoomAlreadyExist,This room name is already taken
ResponseAccountError,"Account error, please try to relog"
ResponseInvalidRoomData,Invalid chat room data detected
