Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,IsolationEscape,It's the same place|I escaped from today.,You were able to escape from here?|I need to learn some tricks from you.,10,0,1,
0,0,0,IsolationStuck,It's the same place|I got stuck in today.,(She nods.)  I also got myself|restrained in here a few times.,10,0,-1,
0,0,0,,This place looks|both scary and fun.,"Yes, I was scared to death the|first time they locked me here.",10,1,-1,
0,0,0,,It's pretty dark.,"Yes, I think they've put|very little lights on purpose.",10,0,0,
0,0,0,,Why did you bring|me here you pervert?,(She lowers her voice.)  I've already|warned you that it was a dangerous place.,10,-1,1,
10,0,0,,I'm scared Sarah.,Check the devices girl.|There are not that scary.,20,0,-1,
10,0,0,,This is thrilling!,Yes!  Do you want to see the devices?,20,1,0,
10,0,0,,I can't wait to|strap you up.,(She blushes and nods happily.)|Which device would you like to see?,20,0,1,
10,0,0,,Can we try|the devices?,"Sure, but we need to be careful.|Which device would you like to see?",20,0,0,
10,0,0,,This school is sick.,I guess the discipline rules are outdated.|Is there a device you would like to see?,20,-1,0,
20,0,0,!SarahOnCross,(Check the cross.),(There's a huge wooden cross bolted on|the wall with chains to restrain limbs.),100,0,0,
20,0,0,SarahOnCross,(Check the cross.),"(Sarah is still struggling on the wooden cross.)|This is my favorite down there, it's fun to struggle.",110,0,0,
20,0,0,!SarahOnPillory,(Check the pillory.),(There's a wooden pillory bolted on the floor.|Three holes are used to restrain wrists and neck.),200,0,0,
20,0,0,SarahOnPillory,(Check the pillory.),(Sarah is still struggling in the wooden pillory.)|I feel like a medieval damsel in this device.,210,0,0,
20,0,0,!SarahOnHorse,(Check the horse.),(There's a wooden horse bolted on the floor.|There's two chains to restrain the legs.),300,0,0,
20,0,0,SarahOnHorse,(Check the horse.),"(Sarah is still struggling on the wooden horse.)|Wicked!  My hands are free, but I cannot escape.",310,0,0,
20,0,0,,(Search the place.),You search in the isolation room|but don't find anything interesting.,20,0,0,Search()
20,0,0,,I don't like|this place.,Don't be so scared and gloomy.|These are fun torture devices.,20,0,0,DontLikeRemark()
20,0,0,SarahRestrained,Are you doing|ok back there?,(She struggles and yells from afar.)|Yes!  It's a really thrilling situation.,20,0,0,
20,0,0,!SarahRestrained,I've seen enough.|Let's go back.,(She pouts.)  It's already time to go?,30,0,0,
20,0,0,SarahRestrained,I've seen enough.|I'm going back.,(She struggles and yells from afar.)|You're not leaving me here like that?,40,0,0,
30,0,0,,I'm going to my place.|Do you want to come?,Sure!  Let's go see your place.,50,0,0,
30,0,0,,I'm going to my place.|See you later Sarah.,Alright!  It was fun.  Take care.,60,0,0,
30,0,0,,Maybe we can stay|here a little longer.,Cool!  That's the spirit!|Which device should we check?,20,0,0,
40,0,0,,Have fun struggling!|(Leave her stranded.),,40,-2,2,"Leave(""Stranded"")"
40,0,0,,I was only kidding.|(Stay in the room.),(She sighs and stops struggling.|Which device do you want to see?),20,0,0,
50,0,0,,(Go back to your|dorm with Sarah.),,50,1,0,"Leave(""Sarah"")"
60,0,0,,(Back to your dorm.),,60,0,0,"Leave("""")"
100,0,0,!SarahRestrained,Can I lock you|on the cross?,Sure!  I love to be helpless on that cross.|(She lies on the cross while you lock the chains.),110,0,0,"LockSarah(""Cross"")"
100,0,0,SarahRestrained,Can I lock you|on the cross?,(She nods happily.)  Of course.|Help me out and I'll try the cross.,100,0,0,
